variant,variant_label,family,commit_type,dice_cutoff,context_size,n_tasks,iqr_rel_mean,iqr_rel_ci_lo,iqr_rel_ci_hi
commit_pred_97,Pred 0.97,ACDC,prediction,0.97,1,6,1.0,1.0,1.0
commit_pred_97,Pred 0.97,ACDC,prediction,0.97,2,6,0.5863123669295481,0.27359093740677903,0.8992968188545646
commit_pred_97,Pred 0.97,ACDC,prediction,0.97,4,6,0.5094601186966539,0.19392135508456768,0.8227552359471839
commit_pred_97,Pred 0.97,ACDC,prediction,0.97,8,6,0.4381154614009681,0.15193669147586963,0.7242942313260664
commit_pred_97,Pred 0.97,ACDC,prediction,0.97,10,6,0.3423980923229774,0.12109361384816479,0.5566470972230538
commit_pred_97,Pred 0.97,BTCV,prediction,0.97,0,18,0.7603068239976595,0.6072246685146346,0.9337486836363221
commit_pred_97,Pred 0.97,BTCV,prediction,0.97,1,18,1.0,1.0,1.0
commit_pred_97,Pred 0.97,BTCV,prediction,0.97,2,18,0.8172387545423021,0.7497437014635805,0.8795798925223358
commit_pred_97,Pred 0.97,BTCV,prediction,0.97,4,18,0.7005993671094024,0.6186330529421912,0.7890272365456151
commit_pred_97,Pred 0.97,BTCV,prediction,0.97,8,18,0.6075051406383981,0.5192659970914408,0.7050316236383172
commit_pred_97,Pred 0.97,BTCV,prediction,0.97,10,18,0.6337391830634488,0.5176680961725512,0.7571090557069372
commit_pred_97,Pred 0.97,HipXRay,prediction,0.97,0,4,1.0352164773145094,0.7741017678761466,1.2963311867528722
commit_pred_97,Pred 0.97,HipXRay,prediction,0.97,1,4,1.0,1.0,1.0
commit_pred_97,Pred 0.97,HipXRay,prediction,0.97,2,4,1.0558839315747788,0.6194881943359959,1.4922796688135618
commit_pred_97,Pred 0.97,HipXRay,prediction,0.97,4,4,1.0735125234904368,0.5641032438528367,1.582921803128037
commit_pred_97,Pred 0.97,HipXRay,prediction,0.97,8,4,0.8400122875624125,0.40016808938402426,1.2798564857408006
commit_pred_97,Pred 0.97,HipXRay,prediction,0.97,10,4,0.7962422277559795,0.4159287977381638,1.1765556577737954
commit_pred_97,Pred 0.97,SCR,prediction,0.97,0,20,1.0009396813300415,0.7928838292096541,1.221516430039308
commit_pred_97,Pred 0.97,SCR,prediction,0.97,1,20,1.0,1.0,1.0
commit_pred_97,Pred 0.97,SCR,prediction,0.97,2,20,1.0945570469734953,0.9704869376601744,1.2384987844004356
commit_pred_97,Pred 0.97,SCR,prediction,0.97,4,20,1.0180844152851836,0.869806328797736,1.18789055761537
commit_pred_97,Pred 0.97,SCR,prediction,0.97,8,20,0.949494882178122,0.8045596017585975,1.1024071083127605
commit_pred_97,Pred 0.97,SCR,prediction,0.97,10,20,0.8901889154191462,0.7517586399916936,1.0339718946511893
