variant,family,commit_type,dice_cutoff,context_size,n_tasks,iqr_rel_mean,iqr_rel_ci_lo,iqr_rel_ci_hi
commit_pred_90,SCD,prediction,0.9,10,4,0.043473547718230254,0.02328453242765488,0.0602139472710884
commit_pred_90,SCR,prediction,0.9,1,20,1.0,1.0,1.0
commit_pred_90,SCR,prediction,0.9,2,20,0.7182546798468059,0.5925446121307506,0.8488400382637843
commit_pred_90,SCR,prediction,0.9,4,20,0.5967325266511704,0.4928114272652332,0.7018957244795261
commit_pred_90,SCR,prediction,0.9,8,20,0.4403291473374707,0.2728461791626827,0.6251710206156429
commit_pred_90,SCR,prediction,0.9,10,20,0.39725347129925465,0.22752518796377189,0.5853120549238723
commit_pred_90,T1mix,prediction,0.9,1,35,1.0,1.0,1.0
commit_pred_90,T1mix,prediction,0.9,2,35,0.7808082800600376,0.6796339954970436,0.8834577903677525
commit_pred_90,T1mix,prediction,0.9,4,35,0.5393769781419628,0.4413872794266958,0.6465844054532058
commit_pred_90,T1mix,prediction,0.9,8,35,0.3403783449954673,0.2855231537480609,0.39704353942846476
commit_pred_90,T1mix,prediction,0.9,10,35,0.2619400249950615,0.2130540466445024,0.3189151527152671
commit_pred_90,WBC,prediction,0.9,1,8,1.0,1.0,1.0
commit_pred_90,WBC,prediction,0.9,2,8,0.5838905719027062,0.49244882020897796,0.7107178799237448
commit_pred_90,WBC,prediction,0.9,4,8,0.3244192101082316,0.27695940957659637,0.37989798736195035
commit_pred_90,WBC,prediction,0.9,8,8,0.10745187304195852,0.07045876726255816,0.15080747448095855
commit_pred_90,WBC,prediction,0.9,10,8,0.07323514563302151,0.04916393194712003,0.09118706212229413
commit_pred_97,ACDC,prediction,0.97,1,6,1.0,1.0,1.0
commit_pred_97,ACDC,prediction,0.97,2,6,0.6872039468238866,0.3752634839238155,0.9909653092697831
commit_pred_97,ACDC,prediction,0.97,4,6,0.33962419257282384,0.15263983319304764,0.5585442814521183
commit_pred_97,ACDC,prediction,0.97,8,6,0.14173083955095936,0.06375708483602045,0.23438038276103293
commit_pred_97,ACDC,prediction,0.97,10,6,0.048255788288069056,0.002374398215364846,0.10802457694183505
commit_pred_97,BTCV,prediction,0.97,1,18,1.0,1.0,1.0
commit_pred_97,BTCV,prediction,0.97,2,18,0.6604724588909794,0.5240663770004115,0.8028336248639387
commit_pred_97,BTCV,prediction,0.97,4,18,0.42600789586383825,0.3363930480931905,0.5230499088425392
commit_pred_97,BTCV,prediction,0.97,8,18,0.21165385292411656,0.15975388152585357,0.2620942864502609
commit_pred_97,BTCV,prediction,0.97,10,18,0.051282219153952535,0.03550144796526631,0.06892642620754735
commit_pred_97,BUID,prediction,0.97,1,2,1.0,1.0,1.0
commit_pred_97,BUID,prediction,0.97,2,2,0.660044487891954,0.660044487891954,0.660044487891954
commit_pred_97,BUID,prediction,0.97,4,2,0.4569078824516998,0.4569078824516998,0.4569078824516998
commit_pred_97,BUID,prediction,0.97,8,2,0.07114896875174724,0.07114896875174724,0.07114896875174724
commit_pred_97,BUID,prediction,0.97,10,2,0.011158809824249218,0.011158809824249218,0.011158809824249218
commit_pred_97,HipXRay,prediction,0.97,1,4,1.0,1.0,1.0
commit_pred_97,HipXRay,prediction,0.97,2,4,0.5234967753144681,0.43218258625194456,0.6148109643769918
commit_pred_97,HipXRay,prediction,0.97,4,4,0.40624922458344237,0.4008593553672465,0.41163909379963837
commit_pred_97,HipXRay,prediction,0.97,8,4,0.09709048218522368,0.040658191495521676,0.15352277287492566
commit_pred_97,HipXRay,prediction,0.97,10,4,0.05003009747396828,0.0111820768210905,0.08887811812684604
commit_pred_97,PanDental,prediction,0.97,1,4,1.0,1.0,1.0
commit_pred_97,PanDental,prediction,0.97,2,4,0.8266746797460507,0.7922262103903098,0.8611231491017916
commit_pred_97,PanDental,prediction,0.97,4,4,2.3429656934732694,0.28018456829032934,4.40574681865621
commit_pred_97,PanDental,prediction,0.97,8,4,0.9558745165370212,0.20233610911772157,1.7094129239563207
commit_pred_97,PanDental,prediction,0.97,10,4,0.3597319289930656,0.18534472576373667,0.5341191322223945
commit_pred_97,SCD,prediction,0.97,1,4,1.0,1.0,1.0
commit_pred_97,SCD,prediction,0.97,2,4,0.3109591013799776,0.14966213188811894,0.48973788918928696
commit_pred_97,SCD,prediction,0.97,4,4,0.20708151336274713,0.08580545685632007,0.3283575698691742
commit_pred_97,SCD,prediction,0.97,8,4,0.10520046763981275,0.03355858830511045,0.17684234697451504
commit_pred_97,SCD,prediction,0.97,10,4,0.0286980591969905,0.011613257225625036,0.04578286116835596
commit_pred_97,SCR,prediction,0.97,1,20,1.0,1.0,1.0
commit_pred_97,SCR,prediction,0.97,2,20,0.5384006143823747,0.47076897408558577,0.6090647789440707
commit_pred_97,SCR,prediction,0.97,4,20,0.39052473223012696,0.3159061862722063,0.4653782378506678
commit_pred_97,SCR,prediction,0.97,8,20,0.1361793507371755,0.10727859912697318,0.1690083689846654
commit_pred_97,SCR,prediction,0.97,10,20,0.06227058148414436,0.04505787271108334,0.0805632648551724
commit_pred_97,T1mix,prediction,0.97,1,17,1.0,1.0,1.0
commit_pred_97,T1mix,prediction,0.97,2,17,0.6871847247694793,0.5101802311535255,0.890547520455113
commit_pred_97,T1mix,prediction,0.97,4,17,0.47747107638065905,0.2993502810880587,0.7055123243410636
commit_pred_97,T1mix,prediction,0.97,8,17,0.24077783694272692,0.16621543835172434,0.3308674615319844
commit_pred_97,T1mix,prediction,0.97,10,17,0.15833927776332338,0.11151924801373836,0.20735411387470204
commit_pred_97,WBC,prediction,0.97,1,8,1.0,1.0,1.0
commit_pred_97,WBC,prediction,0.97,2,8,0.6604732215277724,0.5196346524118671,0.8032968609803683
commit_pred_97,WBC,prediction,0.97,4,8,0.30058900120450416,0.18420145489891088,0.41718713132711605
commit_pred_97,WBC,prediction,0.97,8,8,0.0893972163844659,0.03811812044495916,0.15065678532265464
commit_pred_97,WBC,prediction,0.97,10,8,0.030082838523760053,0.019812768230670134,0.040183367383117306
