,procedure,ablation,family,policy,n_tasks,n_subsets,mean_start_mean,mean_start_ci_lo,mean_start_ci_hi,best_start_mean,best_start_ci_lo,best_start_ci_hi,worst_start_mean,worst_start_ci_lo,worst_start_ci_hi,gap_mean,gap_ci_lo,gap_ci_hi
126,random_v_MSE_v2,pretrained_baseline5p_mse_embedding_alternate_start_min,WBC,mse_embedding_alternate_start_min_vit,8,80,2.78967175,2.6114937499999993,2.9596625,2.33333,2.1325,2.5075000000000003,3.2298324999999997,3.0875000000000004,3.37,-0.45634175,-0.50253125,-0.4117437500000001
127,random_v_MSE_v2,pretrained_baseline5p_mse_embedding_alternate_start_min,WBC,random,8,80,2.8054715999999997,2.64358,2.9582693749999995,2.1217175,1.89,2.3300625,3.51927,3.4349999999999996,3.6075,-0.6837541,-0.7614125000000002,-0.618131875
128,random_v_MSE_v2,pretrained_baseline5p_mse_embedding_context_mean,ACDC,mse_embedding_context_mean_clip,6,60,3.4256515,3.3248333333333338,3.5175166666666673,3.1847516666666666,3.0583333333333336,3.293333333333333,3.6702249999999994,3.5683333333333334,3.776666666666666,-0.24089983333333334,-0.28250416666666667,-0.21016666666666664
129,random_v_MSE_v2,pretrained_baseline5p_mse_embedding_context_mean,ACDC,mse_embedding_context_mean_dinov2,6,60,3.3965091666666667,3.2986625000000003,3.4851791666666663,3.1540400000000006,3.034958333333333,3.263375,3.6144866666666666,3.53,3.6916666666666664,-0.24246916666666668,-0.2671666666666666,-0.21516249999999998
130,random_v_MSE_v2,pretrained_baseline5p_mse_embedding_context_mean,ACDC,mse_embedding_context_mean_medsam,6,60,3.443471333333334,3.3414750000000004,3.5356791666666663,3.203911666666667,3.099875,3.2933333333333334,3.6770783333333337,3.5783333333333336,3.775083333333334,-0.23955966666666673,-0.27050416666666677,-0.2128333333333334
131,random_v_MSE_v2,pretrained_baseline5p_mse_embedding_context_mean,ACDC,mse_embedding_context_mean_multiverseg,6,60,3.4407591666666666,3.3463166666666666,3.5306958333333336,3.200781666666667,3.0799583333333334,3.3049999999999997,3.6825233333333336,3.6100000000000008,3.7533749999999992,-0.23997749999999998,-0.2696791666666667,-0.21032083333333337
132,random_v_MSE_v2,pretrained_baseline5p_mse_embedding_context_mean,ACDC,mse_embedding_context_mean_vit,6,60,3.4344851666666663,3.3301624999999997,3.5248666666666666,3.18599,3.0766249999999995,3.283333333333333,3.676988333333333,3.5766666666666667,3.7800416666666674,-0.24849516666666666,-0.27449999999999997,-0.223
133,random_v_MSE_v2,pretrained_baseline5p_mse_embedding_context_mean,ACDC,random,6,60,3.4257891,3.32842375,3.5127224999999997,3.0338933333333333,2.9299999999999997,3.1300000000000003,3.8295833333333333,3.736666666666667,3.918375,-0.39189576666666665,-0.41981875,-0.361745
134,random_v_MSE_v2,pretrained_baseline5p_mse_embedding_context_mean,BTCV,mse_embedding_context_mean_clip,20,200,2.3985249000000004,2.36109875,2.4469700000000003,2.057636,2.0140000000000002,2.1160125,2.7757775000000002,2.732,2.8225125000000006,-0.3408889,-0.35540125000000006,-0.32784625
135,random_v_MSE_v2,pretrained_baseline5p_mse_embedding_context_mean,BTCV,mse_embedding_context_mean_dinov2,20,200,2.3889047499999996,2.35764375,2.4276625,2.025499,1.987,2.0615124999999996,2.8009174999999997,2.7605,2.8430250000000004,-0.36340575,-0.3780525,-0.35074625
136,random_v_MSE_v2,pretrained_baseline5p_mse_embedding_context_mean,BTCV,mse_embedding_context_mean_medsam,20,200,2.3967372,2.3614475,2.436415,2.0492865,2.0244874999999998,2.0795125,2.7905775,2.7385000000000006,2.8490375,-0.3474507,-0.36655,-0.32929875
137,random_v_MSE_v2,pretrained_baseline5p_mse_embedding_context_mean,BTCV,mse_embedding_context_mean_multiverseg,20,200,2.4117191499999997,2.3710950000000004,2.4615025,2.0581569999999996,2.016,2.1135125,2.801585,2.7594749999999997,2.8535250000000003,-0.35356214999999996,-0.37060249999999995,-0.33694375
138,random_v_MSE_v2,pretrained_baseline5p_mse_embedding_context_mean,BTCV,mse_embedding_context_mean_vit,20,200,2.37039615,2.33919625,2.40760875,2.0081205,1.9695000000000005,2.0494999999999997,2.757242,2.717,2.7984999999999998,-0.36227565,-0.37550124999999995,-0.35034875
139,random_v_MSE_v2,pretrained_baseline5p_mse_embedding_context_mean,BTCV,random,20,200,2.3823947100000002,2.3467512500000005,2.425591,1.816682,1.778975,1.859025,3.0360085,2.9884875,3.0930125,-0.56571271,-0.5848186249999999,-0.54863925
140,random_v_MSE_v2,pretrained_baseline5p_mse_embedding_context_mean,WBC,mse_embedding_context_mean_clip,7,70,2.969276142857143,2.7951392857142854,3.1223214285714285,2.5255985714285716,2.275607142857143,2.707178571428571,3.415182857142857,3.3085357142857146,3.5186071428571433,-0.44367757142857145,-0.5257178571428571,-0.3759892857142858
141,random_v_MSE_v2,pretrained_baseline5p_mse_embedding_context_mean,WBC,mse_embedding_context_mean_dinov2,7,70,2.9978988571428573,2.840125,3.1490392857142857,2.6006585714285713,2.3842142857142856,2.791428571428572,3.4073685714285715,3.2814285714285716,3.5314642857142857,-0.3972402857142857,-0.46315,-0.3414
142,random_v_MSE_v2,pretrained_baseline5p_mse_embedding_context_mean,WBC,mse_embedding_context_mean_medsam,7,70,2.9622884285714286,2.7837964285714287,3.1319285714285714,2.5595914285714283,2.3442499999999997,2.767142857142857,3.3833800000000003,3.25425,3.5015000000000005,-0.402697,-0.4534321428571429,-0.34956785714285704
